  Tukey multiple comparisons of means
    99% family-wise confidence level

Fit: aov(formula = U ~ C * T, data = d)

$C
                                       diff         lwr         upr p adj
dynamic-only:MP-dynamic-only:LV              0.391194908  0.346993148  0.4353966684 0.0000000
static-and-dynamic:MP-dynamic-only:LV        0.411562227  0.373021690  0.4501027630 0.0000000
static-only:MR-dynamic-only:LV               0.473140273  0.418397416  0.5278831297 0.0000000
dynamic-only:MR-dynamic-only:LV              0.420448395  0.378854233  0.4620425579 0.0000000
static-and-dynamic:MR-dynamic-only:LV        0.404390336  0.367107884  0.4416727887 0.0000000
static-only:MP-static-and-dynamic:LV         0.445731192  0.391566814  0.4998955700 0.0000000
dynamic-only:MP-static-and-dynamic:LV        0.361195208  0.321625843  0.4007645734 0.0000000
static-and-dynamic:MP-static-and-dynamic:LV  0.381562526  0.348436826  0.4146882267 0.0000000
static-only:MR-static-and-dynamic:LV         0.443140572  0.392064947  0.4942161975 0.0000000
dynamic-only:MR-static-and-dynamic:LV        0.390448695  0.353815194  0.4270821966 0.0000000
static-and-dynamic:MR-static-and-dynamic:LV  0.374390636  0.342737511  0.4060437612 0.0000000
dynamic-only:MP-static-only:MP              -0.084535984 -0.143709345 -0.0253626232 0.0000034
static-and-dynamic:MP-static-only:MP        -0.064168666 -0.119241926 -0.0090954056 0.0006948
static-only:MR-static-only:MP               -0.002590620 -0.070003314  0.0648220752 1.0000000
dynamic-only:MR-static-only:MP              -0.055282497 -0.112534269  0.0019692749 0.0163533
static-and-dynamic:MR-static-only:MP        -0.071340556 -0.125540854 -0.0171402582 0.0000400
static-and-dynamic:MP-dynamic-only:MP        0.020367318 -0.020437324  0.0611719604 0.8417509
static-only:MR-dynamic-only:MP               0.081945364  0.025585571  0.1383051573 0.0000018
dynamic-only:MR-dynamic-only:MP              0.029253487 -0.014446859  0.0729538328 0.3837859
static-and-dynamic:MR-dynamic-only:MP        0.013195428 -0.026423092  0.0528139479 0.9946538
static-only:MR-static-and-dynamic:MP         0.061578046  0.009539564  0.1136165280 0.0005033
dynamic-only:MR-static-and-dynamic:MP        0.008886169 -0.029078256  0.0468505937 0.9998939
static-and-dynamic:MR-static-and-dynamic:MP -0.007171891 -0.040356292  0.0260125106 0.9999596
dynamic-only:MR-static-only:MR              -0.052691877 -0.107030676  0.0016469211 0.0154435
static-and-dynamic:MR-static-only:MR        -0.068749937 -0.119863652 -0.0176362209 0.0000221
static-and-dynamic:MR-dynamic-only:MR       -0.016058059 -0.052744649  0.0206285309 0.9375389

